Property Type,Location,Price (€),Surface (m²),Rooms,Floor,Zip Code,Neighborhood,Address
Apartment,Berlin,Preis auf Anfrage,87,4,2,12101,Tempelhof,"Tempelhof, Berlin"
Apartment,Berlin,129.000 €,38.7,1,N/A,13589,Falkenhagener Feld,"Falkenhagener Feld, Berlin"
Apartment,Berlin,1.150.000 €,111,4,2,10623,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,299.000 €,52,2,1,10247,Friedrichshain,"Friedrichshain, Berlin"
Apartment,Berlin,479.000 €,64.7,2,2,12439,Niederschöneweide,"Hasselwerderstraße 27, Niederschöneweide, Berlin"
Apartment,Berlin,1.450.000 €,166,4,1,10245,Friedrichshain,"Friedrichshain, Berlin"
Studio,Berlin,260.000 €,26,1,5,13353,Wedding,"Wedding, Berlin"
Apartment,Berlin / Kreuzberg,399.000 €,82.9,3,2,10967,Kreuzberg,"Fichtestraße 23, Kreuzberg, Berlin / Kreuzberg"
Apartment,Berlin,260.000 €,80,3,1,13505,Konradshöhe,"Konradshöhe, Berlin"
Apartment,Berlin,275.000 €,84,4,N/A,13591,Staaken,"Staaken, Berlin"
Apartment,Berlin,149.000 €,28.5,1,N/A,12047,Neukölln,"Neukölln, Berlin"
Apartment,Berlin,840.000 €,91.4,3,5,10117,Mitte,"Mitte, Berlin"
Apartment,Berlin,150.000 €,49,1,,13505,Konradshöhe,"Konradshöhe, Berlin"
Apartment,Berlin,225.000 €,39,5,,12103,Tempelhof,"Werderstr. 1, Tempelhof, Berlin"
Apartment,Berlin,280.000 €,76.1,3,3,10719,Wilmersdorf,"Wilmersdorf, Berlin"
Apartment,Berlin,460.000 €,50,2,N/A,10997,Kreuzberg,"Kreuzberg, Berlin"
Apartment,Berlin,569.000 €,94,4,N/A,10365,Lichtenberg,"Lichtenberg, Berlin"
Apartment,Berlin,899.000 €,102,4,N/A,10997,Kreuzberg,"Kreuzberg, Berlin"
Apartment,Berlin,265.000 €,60,2,N/A,12101,Tempelhof,"Tempelhof, Berlin"
Apartment,Berlin,375.000 €,46,2,,10117,Mitte,"Mitte, Berlin"
Apartment,Berlin,535.000 €,87,3,3,10119,Mitte,"Linienstraße 224, Mitte, Berlin"
Apartment,Berlin,300.000 €,55,2,3,10407,Prenzlauer Berg,"Prenzlauer Berg, Berlin"
Apartment,Berlin,330.000 €,57.5,2,3,14195,Schmargendorf,"Schmargendorf, Berlin"
Apartment,Berlin,249.000 €,54.2,2,1,10557,Moabit,"Melanchthonstraße 9, Moabit, Berlin"
Apartment,Berlin,584.000 €,105.5,4,,12527,Grünau,"Gaffelsteig, Grünau, Berlin"
Apartment,Berlin,Preis auf Anfrage,87,4,2,12101,Tempelhof,"Tempelhof, Berlin"
Apartment,Berlin,129.000 €,38.7,1,N/A,13589,Falkenhagener Feld,"Falkenhagener Feld, Berlin"
Apartment,Berlin,1.150.000 €,111,4,2,10623,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,299.000 €,52,2,1,10247,Friedrichshain,"Friedrichshain, Berlin"
Apartment,Berlin,479.000 €,64.7,2,2,12439,Niederschöneweide,"Hasselwerderstraße 27, Niederschöneweide, Berlin"
Apartment,Berlin,1.450.000 €,166,4,1,10245,Friedrichshain,"Friedrichshain, Berlin"
Studio,Berlin,260.000 €,26,1,5,13353,Wedding,"Wedding, Berlin"
Apartment,Berlin / Kreuzberg,399.000 €,82.9,3,2,10967,Kreuzberg,"Fichtestraße 23, Kreuzberg, Berlin / Kreuzberg"
Apartment,Berlin,260.000 €,80,3,1,13505,Konradshöhe,"Konradshöhe, Berlin"
Apartment,Berlin,275.000 €,84,4,N/A,13591,Staaken,"Staaken, Berlin"
Apartment,Berlin,149.000 €,28.5,1,N/A,12047,Neukölln,"Neukölln, Berlin"
Apartment,Berlin,840.000 €,91.4,3,5,10117,Mitte,"Mitte, Berlin"
Apartment,Berlin,150.000 €,49,1,,13505,Konradshöhe,"Konradshöhe, Berlin"
Apartment,Berlin,225.000 €,39,5,,12103,Tempelhof,"Werderstr. 1, Tempelhof, Berlin"
Apartment,Berlin,280.000 €,76.1,3,3,10719,Wilmersdorf,"Wilmersdorf, Berlin"
Apartment,Berlin,460.000 €,50,2,N/A,10997,Kreuzberg,"Kreuzberg, Berlin"
Apartment,Berlin,569.000 €,94,4,N/A,10365,Lichtenberg,"Lichtenberg, Berlin"
Apartment,Berlin,899.000 €,102,4,N/A,10997,Kreuzberg,"Kreuzberg, Berlin"
Apartment,Berlin,265.000 €,60,2,N/A,12101,Tempelhof,"Tempelhof, Berlin"
Apartment,Berlin,375.000 €,46,2,,10117,Mitte,"Mitte, Berlin"
Apartment,Berlin,535.000 €,87,3,3,10119,Mitte,"Linienstraße 224, Mitte, Berlin"
Apartment,Berlin,300.000 €,55,2,3,10407,Prenzlauer Berg,"Prenzlauer Berg, Berlin"
Apartment,Berlin,330.000 €,57.5,2,3,14195,Schmargendorf,"Schmargendorf, Berlin"
Apartment,Berlin,249.000 €,54.2,2,1,10557,Moabit,"Melanchthonstraße 9, Moabit, Berlin"
Apartment,Berlin,584.000 €,105.5,4,,12527,Grünau,"Gaffelsteig, Grünau, Berlin"
Apartment,"Berlin, Mitte",249.000 €,38.7,5,3,10179,Unknown,"Ohmstraße 5, Mitte, Berlin, Mitte"
Apartment,"Berlin, Mitte",249.000 €,38.7,5,3,10179,Unknown,"Ohmstraße 5, Mitte, Berlin, Mitte"
Apartment,Berlin,395.000 €,75,2,3,10587,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,295.000 €,55,2,2,12169,Steglitz,"Steglitz, Berlin"
Apartment,Berlin,235.000 €,48.7,2,4,10407,Prenzlauer Berg,"Prenzlauer Berg, Berlin"
Apartment,Berlin,331.000 €,64,2,2,13351,Reinickendorf,"Reinickendorf, Berlin"
Apartment,Berlin,599.000 €,68,2,4,10629,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,999.900 €,128,4,N/A,10629,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,229.000 €,64.7,5,1,14169,Zehlendorf,"Zehlendorf, Berlin"
Apartment,Berlin,629.233 €,93.3,3,2,14163,Nikolassee,"Nikolassee, Berlin"
Apartment,Berlin,691.400 €,97.1,4,4,14057,Charlottenburg,"Friedbergstr. 28, Charlottenburg, Berlin"
Apartment,Berlin,717.340 €,92.3,3,4,14057,Charlottenburg,"Friedbergstr. 28, Charlottenburg, Berlin"
Apartment,Berlin,1.990.000 €,184,4,4,10117,Mitte,"Mitte, Berlin"
Apartment,Berlin,500.000 €,80.1,3,2,10709,Halensee,"Schweidnitzer Straße 8A, Halensee, Berlin"
Apartment,Berlin,652.000 €,94,3,N/A,14057,Charlottenburg,"Rönnestr. 24, Charlottenburg, Berlin"
Apartment,Berlin,715.000 €,99,2,N/A,10115,Mitte,"Mitte, Berlin"
Apartment,Berlin,990.000 €,146,5,N/A,10707,Wilmersdorf,"Wilmersdorf, Berlin"
Apartment,Berlin,1.310.000 €,212,6,3,14195,Dahlem,"Dahlem, Berlin"
Apartment,Berlin,380.337 €,78.4,3,4,14055,Westend,"Westend, Berlin"
Apartment,Berlin,1.495.000 €,237,7,2,10629,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,1.380.000 €,215,6,,10629,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,189.000 €,57.6,2,,10585,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin-Friedrichshain,645.000 €,129.3,3,,10243,Friedrichshain,"Friedrichshain, Berlin-Friedrichshain"
Apartment,Berlin,721.125 €,96.2,4,1,10407,Prenzlauer Berg,"Prenzlauer Berg, Berlin"
Apartment,Berlin,1.050.000 €,373,9,5,14057,Charlottenburg,"Friedbergstr. 28, Charlottenburg, Berlin"
Apartment,Berlin,440.000 €,75,2,2,10961,Kreuzberg,"Kreuzberg, Berlin"
Apartment,Berlin,295.000 €,73.3,3,4,12489,Adlershof,"Dörpfeldstr.00, Adlershof, Berlin"
Apartment,Berlin,499.000 €,58.3,2,6,10629,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,850.000 €,96,4,1,10437,Prenzlauer Berg,"Prenzlauer Berg, Berlin"
Apartment,Berlin,399.000 €,40,2,4,12047,Neukölln,"Neukölln, Berlin"
Apartment,Berlin,259.500 €,67.1,2,4,13156,Niederschönhausen,"Dietzgenstraße 62, Niederschönhausen, Berlin"
Apartment,Berlin,289.000 €,45.8,5,3,10999,Kreuzberg,"Skalitzer Straße 57, Kreuzberg, Berlin"
Apartment,Berlin,955.000 €,168,5,N/A,10629,Westend,"Westend, Berlin"
Apartment,Berlin,152.000 €,60.5,2,N/A,12489,Adlershof,"Adlershof, Berlin"
Apartment,Berlin,249.000 €,69.4,5,1,13088,Weißensee,"Weißensee, Berlin"
Apartment,Berlin,Preis auf Anfrage,34,1,6,10243,Friedrichshain,"Friedrichshain, Berlin"
Wohnung zur Zwangsversteigerung,Berlin,450.000 €,89,Unknown,N/A,14059,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,281.000 €,52,2,,12249,Lankwitz,"Lankwitz, Berlin"
Apartment,Berlin,279.000 €,48,2,1,13156,Niederschönhausen,"Niederschönhausen, Berlin"
Penthouse,Berlin / Köpenick,1.680.000 €,244.7,4,3,12459,Oberschöneweide,"Oberschöneweide, Berlin / Köpenick"
House,Berlin,1.498.000 €,155,4,N/A,13507,Tegel,"Tegel, Berlin"
Apartment,Berlin,419.000 €,62,5,1,14193,Schmargendorf,"Schmargendorf, Berlin"
Apartment,Berlin,419.000 €,62,5,1,14193,Schmargendorf,"Schmargendorf, Berlin"
Apartment,Berlin / Niederschönhausen,599.000 €,137,5,5,13156,Niederschönhausen,"Niederschönhausen, Berlin / Niederschönhausen"
Apartment,Berlin,1.699.000 €,160.5,4,1,14193,Grunewald,"Grunewald, Berlin"
Apartment,Berlin,199.900 €,65,3,2,13509,Tegel,"Tegel, Berlin"
Penthouse,Berlin,1.390.000 €,288,4,N/A,14165,Zehlendorf,"Zehlendorf, Berlin"
Apartment,Berlin,695.000 €,96,3,N/A,10589,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,200.000 €,50,2,N/A,14199,Schmargendorf,"Schmargendorf, Berlin"
Apartment,Berlin,470.000 €,78.5,3,2,10439,Prenzlauer Berg,"Kanzowstraße 3, Prenzlauer Berg, Berlin"
Apartment,Berlin,199.900 €,71,3,,13125,Buch,"Buch, Berlin"
Apartment,Berlin,249.000 €,52,2,N/A,12109,Mariendorf,"Mariendorf, Berlin"
Apartment,Berlin,1.058.000 €,150.5,5,,13086,Weißensee,"Roelckestraße 111, Weißensee, Berlin"
Penthouse,Berlin,2.750.000 €,187,4,N/A,10789,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,899.500 €,135.2,4,2,10117,Mitte,"Mitte, Berlin"
Apartment,Berlin,299.000 €,56.4,2,1,12157,Schöneberg,"Schöneberg, Berlin"
Apartment,Berlin,939.000 €,112,5,1,14195,Dahlem,"Dahlem, Berlin"
Apartment,Berlin,695.000 €,102,4,1,13156,Niederschönhausen,"Niederschönhausen, Berlin"
Apartment,Berlin,679.000 €,104,4,1,13156,Niederschönhausen,"Niederschönhausen, Berlin"
